NO_,物理实验2,中国近现代史纲要,微控制器原理与接口技术,形势与政策2,大学体育4
541701010101,86,79,77,76,79
541701010102,88,84,93,91,97
541701010103,86,82,80,83,88
541701010104,92,85,82,86,92
541701010105,78,81,76,79,82
541701010106,82,86,71,80,83
541701010107,77,78,74,82,80
541701010108,99,89,87,88,99
541701010109,82,85,85,84,92
541701010110,75,73,69,68,86
541701010111,89,88,86,87,94
541701010112,95,88,72,81,74
541701010113,0,47,28,43,17
541701010114,94,87,88,84,98
541701010115,69,78,72,72,77
541701010116,88,83,88,83,99
541701010117,97,93,90,95,98
541701010118,77,85,70,76,81
541701010119,80,76,61,68,69
541701010120,90,85,76,71,80
541701010121,90,84,84,82,95
541701010122,81,76,75,72,76
541701010123,80,85,76,81,85
541701010124,87,84,83,87,94
541701010125,86,81,84,80,91
541701010126,98,87,93,91,93
541701010127,85,84,79,81,89
541701010128,80,80,74,77,83
541701010129,87,86,81,85,94
541701010130,98,90,94,94,96
541701010131,90,86,85,88,95
541701010133,89,83,85,84,94
541701010134,85,85,83,86,94
541701010135,87,85,88,86,96
541701010136,78,88,75,79,80
541701010137,79,88,57,78,81
541701010138,85,83,81,80,88
541701010139,81,84,77,82,86
541701010140,88,87,83,85,92
541701010141,95,92,88,92,98
541701010142,86,79,75,72,83
541701010143,82,84,69,75,78
541701010144,87,85,78,81,91
541701010145,86,84,74,79,84
541701010146,81,81,81,75,80
541701010147,84,80,69,75,74
541701010148,87,87,71,82,83
541701010149,80,88,74,84,83
541701010150,88,83,80,83,89
541701010151,88,85,78,86,87
541701010152,84,84,78,81,84
541701010153,87,87,76,83,93
541701010154,90,85,84,84,86
541701010155,84,80,81,74,83
541701010156,87,85,93,89,96
541701010157,75,79,67,74,80
541701010158,89,85,84,86,92
541701010159,80,81,72,78,82
541701010160,84,85,72,80,83
541701010161,76,80,74,75,85
541701010162,86,87,74,88,80
541701010163,74,73,72,70,78
541701010164,95,85,90,91,99
541701010201,85,89,77,82,91
541701010202,98,91,88,92,95
541701010203,0,0,0,2,0
541701010204,81,86,64,68,79
541701010205,83,85,71,80,84
541701010206,84,83,77,85,87
541701010207,88,86,74,78,87
541701010208,82,87,73,85,77
541701010209,80,84,72,75,82
541701010210,91,85,71,80,80
541701010211,95,87,89,92,95
541701010212,96,86,90,89,96
541701010213,87,87,77,83,96
541701010214,89,89,84,89,94
541701010215,90,76,93,78,92
541701010216,0,46,21,18,4
541701010218,0,0,0,0,0
541701010219,98,86,88,91,99
541701010220,97,89,88,91,93
541701010221,78,82,69,86,79
541701010222,88,86,77,80,87
541701010223,98,82,95,89,95
541701010224,79,82,71,79,81
541701010225,87,84,87,88,96
541701010226,79,87,72,90,83
541704010247,99,59,61,46,83
541710020117,88,96,83,59,97
541721030124,85,94,89,55,99
